grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude,zipcode
137,Sprouts Farmers Market,"1530 Cypress Creek Rd, Cedar Park, TX 78613",3.5,30.47900754,-97.83212096,78613
138,Walmart Supercenter,"13201 Ranch Rd 620 N, Austin, TX 78717",2,30.46739999,-97.7894659,78717
139,JD'S Supermarket,"6214 E Riverside Dr, Austin, TX 78741",4,30.225308,-97.703578,78741
140,H-E-B plus!,"14028 N US Hwy 183, Austin, TX 78717",3.5,30.478008,-97.803313,78717
141,Walnut Market 1,"1900 E Anderson Ln, Austin, TX 78752",5,30.33033,-97.67983,78752
142,The Bread Basket Food Store,"2213 Justin Ln, Austin, TX 78757",3.5,30.344621,-97.736396,78757
143,Tomgro Grocery,"1313 Montopolis Dr, Austin, TX 78741",3.5,30.23016,-97.69963,78741
144,H-E-B,"5800 W Slaughter Ln, Austin, TX 78749",3.5,30.20254326,-97.87689972,78749
145,Whole Foods Market,"12601 Hill Country Blvd, Bee Cave, TX 78738",3.5,30.307525,-97.937572,78738
146,H-E-B,"9414 N Lamar Blvd, Austin, TX 78753",2,30.364689,-97.69807,78753
147,Walnut Market 2,"5517 Cameron Rd, Austin, TX 78723",5,30.3259633,-97.71131369,78723
148,Natural Grocers,"1335 E Whitestone Blvd, Bldg G-17, Cedar Park, TX 78613",4.5,30.527759,-97.815767,78613
149,Quality Halal Market,"12920 W Parmer Ln, Cedar Park, TX 78613",3.5,30.53189,-97.780044,78613
150,H-E-B plus!,"1700 E Palm Valley Blvd, Round Rock, TX 78664",3,30.51937747,-97.65853663,78664
151,Lone Star Family Food Market,"7110 Cameron Rd, Austin, TX 78752",1,30.32587,-97.693233,78752
152,Rancho Grande Supermercado,"4604 Teri Rd, Austin, TX 78744",2,30.19673058,-97.7430496,78744
153,H-E-B,"2110 W Slaughter Ln, Austin, TX 78748",3,30.17525857,-97.8251714,78748
154,Lowe's Market - Lago Vista,"7708 Lohman Ford Rd, Lago Vista, TX 78645",2.5,30.47468869,-97.9767413,78645
155,Walmart Supercenter,"1320 W Hwy 290, Elgin, TX 78621",1.5,30.3495896,-97.39009654,78621
156,H-e-b,"12021 W US 290, Austin, TX 78737",4.5,30.21032,-97.96969,78737
157,Supermercado El Rancho,"6800 Berkman Dr, Austin, TX 78723",3.5,30.320284,-97.690481,78723
158,Mtm Indian Grocery & Fish Store,"9225 W Parmer Ln, Austin, TX 78717",4,30.47826,-97.76638,78717
159,Jd's Market,"11720 F M 1826, Austin, TX 78737",3.5,30.19265703,-97.92557283,78737
160,H-E-B,"3750 Gattis School Rd, Round Rock, TX 78664",3.5,30.499733,-97.615318,78664
161,H-E-B,"6001 W Parmer Ln, Austin, TX 78727",3.5,30.4420668,-97.7437162,78727
162,ALDI,"926 W University Ave, Georgetown, TX 78626",4,30.632332,-97.6874081,78626
163,Hamilton Market,"18901 Hamilton Pool Rd, Dripping Springs, TX 78620",3.5,30.286217,-98.065871,78620
164,Texas Market,"720 Lamar Pl, Austin, TX 78752",2.5,30.33172,-97.72229,78752
165,Randalls,"2051 Gattis School Rd, Round Rock, TX 78664",3,30.4950044,-97.6541185,78664
166,H-E-B,"1080 Hwy 290 E, Elgin, TX 78621",3,30.34635758,-97.38401882,78621
167,Hudson Bend Grocery,"5001 Hudson Bend Rd, Austin, TX 78734",4.5,30.41253662,-97.92671967,78734
168,Randalls,"2301 Ranch Rd 620 S, Lakeway, TX 78734",3,30.3414207,-97.9663825,78734
169,Walmart Supercenter,"9300 S Interstate 35, Ste B, Austin, TX 78748",1.5,30.16497453,-97.7899762,78748
170,H-E-B,"2800 E Whitestone Blvd, Cedar Park, TX 78613",4,30.53228259,-97.78518183,78613
171,Sprouts Farmers Market,"110 N Interstate 35 Frontage Rd, Ste 299, Round Rock, TX 78681",3.5,30.50799677,-97.6870205,78681
172,E-Z Stop Grocery,"5029 Manor Rd, Austin, TX 78723",4,30.2977,-97.68693,78723
173,H-E-B,"12860 Research Blvd, Austin, TX 78750",3,30.43409,-97.77229,78750
174,Cedar Valley Grocery,"12009 W Highway 290, Austin, TX 78737",2.5,30.211083,-97.967911,78737
175,Apple Mart,"2101 Wickersham Ln, Ste A, Austin, TX 78741",2.5,30.23178,-97.72016,78741
