city,state,zipcode,address,price,bedrooms,bathrooms,square_foot,latitude,longitude,sale_amount,sale_transaction_date
DEL VALLE,TX,78617,7309 DUNGAREES WAY,334429.0,3,2.0,1811.0,30.15158,-97.589861,421563.0,2022-09-01
DEL VALLE,TX,78617,7320 SPARKLING LIGHT DR UNIT A,325223.0,3,2.0,2128.0,30.418608,-97.650583,391963.0,2022-11-08
DEL VALLE,TX,78617,6201 KELLAM RD,393234.0,3,2.0,976.0,30.164604,-97.608947,375000.0,2023-04-07
DEL VALLE,TX,78617,7312 SPRING RAY DR,302449.0,3,2.0,2006.0,30.150741,-97.590562,242775.0,2020-06-19
DEL VALLE,TX,78617,15408 WINTER RAY DR,321750.0,3,2.0,1731.0,30.150841,-97.590863,235280.0,2020-03-02
DEL VALLE,TX,78617,15404 WINTER RAY DR,337601.0,3,2.0,1811.0,30.150931,-97.590983,238694.0,2020-02-19
DEL VALLE,TX,78617,7304 FALL RAY DR,431072.0,4,3.0,2676.0,30.151224,-97.591457,278530.0,2020-07-13
DEL VALLE,TX,78617,7308 FALL RAY DR,371136.0,3,2.0,2195.0,30.151142,-97.591641,239760.0,2020-05-29
DEL VALLE,TX,78617,7320 FALL RAY DR,363460.0,3,2.0,2006.0,30.150772,-97.591908,335564.0,2021-06-25
DEL VALLE,TX,78617,7332 FALL RAY DR,456301.0,4,2.0,2943.0,30.15039,-97.592318,279990.0,2020-03-18
DEL VALLE,TX,78617,7405 SPRING RAY DR,370000.0,3,2.0,2189.0,30.149293,-97.591208,346875.0,2022-01-27
DEL VALLE,TX,78617,15400 SUMMER RAY DR,373910.0,3,2.0,2367.0,30.150387,-97.591658,351563.0,2021-12-20
DEL VALLE,TX,78617,7333 DUNGAREES WAY,299620.0,3,2.0,1731.0,30.151525,-97.590677,259171.0,2021-05-24
DEL VALLE,TX,78617,7329 DUNGAREES WAY,310003.0,3,2.0,1598.0,30.151539,-97.590545,284938.0,2020-09-23
DEL VALLE,TX,78617,15516 COTTAGE ORCHARD DR,360022.0,3,2.0,2006.0,30.151419,-97.588931,393371.0,2021-11-30
DEL VALLE,TX,78617,15512 COTTAGE ORCHARD DR,498590.0,4,2.0,3267.0,30.151564,-97.589045,394910.0,2021-11-22
DEL VALLE,TX,78617,7313 DUNGAREES WAY,399872.0,4,3.0,2384.0,30.151548,-97.58999,284899.0,2020-12-29
DEL VALLE,TX,78617,6313 WAGON SPRING ST,389970.0,4,2.0,2877.0,30.164962,-97.635221,482270.0,2021-06-15
DEL VALLE,TX,78617,6305 WAGON SPRING ST,368711.0,3,2.0,2016.0,30.165162,-97.635096,414671.0,2022-04-29
DEL VALLE,TX,78617,6208 ALBANY SLEIGH DR,447758.0,5,2.0,2895.0,30.164725,-97.632933,357688.0,2020-04-07
