grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude
317,Hemisphere Market Pl & Cafe,"28000 Ranch Rd 12, Dripping Springs, TX 78620",2.0,30.19918,-98.08646
318,Dollar General,"5002 Nuckols Crossing Rd, Austin, TX 78744",3.0,30.195462,-97.738213
319,Dollar General,"12320 Dessau Rd, Austin, TX 78754",1.5,30.389364,-97.648032
320,Dollar General,"7916 DECKER LANE, Austin, TX 78724",3.0,30.305067,-97.619675
321,Quick Trip,"100 Pecan St W, Pflugerville, TX 78660",3.0,30.44026,-97.62102
322,Woody's Market,"1251 University Blvd, Round Rock, TX 78665",1.5,30.56729,-97.66269
323,Walmart Grocery Pickup,"13201 Ranch Road 620 N, Austin, TX 78717",1.0,30.46944,-97.79008
324,Dollar General,"2205 W PECAN STREET, Pflugerville, TX 78660",3.0,30.445314,-97.650769
325,Wag-A-Bag,"1200 S Interstate 35, Round Rock, TX 78681",4.0,30.498183,-97.681734
326,La Hacienda Market-Cameron,"7517 Cameron Rd, Austin, TX 78752",1.0,30.32908,-97.68926
327,Wag-A-Bag No 7,"1490 E Old Settlers Blvd, Round Rock, TX 78664",5.0,30.5391998291016,-97.6689910888672
328,Dollar General,"13903 FM 812 RD, Del Valle, TX 78617",1.0,30.12093,-97.63596
329,Dollar General,"116 W LAKE DR, Taylor, TX 76574",1.0,30.58397,-97.41272
330,Dollar General,"19301 FM 969, Webberville, TX 78653",1.0,30.2251,-97.512775
331,Wag-A-Bag,"2704 Sunrise Rd, Round Rock, TX 78664",4.5,30.53961629218432,-97.6691564609222
332,Dollar General,"4010 F M RD 1327 BLDG B, Creedmoor, TX 78610",2.0,30.0966,-97.74659
333,Dollar General,"2802 S BAGDAD RD, Leander, TX 78641",1.5,30.53988,-97.84845
334,Dollar General,"3100 WINDY HILL RD, Buda, TX 78610",1.5,30.04159,-97.803773
335,Dollar General,"100 W 2ND ST, Elgin, TX 78621",3.5,30.349568,-97.371538
